"x-el","x-el 2","x-el 3","x-el src","x-el 4","x-el 5","x-el 6","x-el 7","x-el 14","x-el 16"
"JIMNY+ LED WAL LIGHT","S-PRESSO LED WAL LIGHT","JIMNY+ LED WAL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/jimnny2.png/:/cr=t:17.18%25,l:12.98%25,w:84.75%25,h:70.83%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt   |   Size (mm)     |  Std.Pkg","12W                    -                20","","CCT & Colors: 3000K","Premium LED Wall Light",""
"JIMNY LED WAL LIGHT","BALENO LED WAL LIGHT","JIMNY+ LED WAL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/jimnny.png/:/cr=t:8.21%25,l:0%25,w:100%25,h:83.58%25/rs=w:388,h:291.72932330827064,cg:true","Watt   |   Size (mm)     |  Std.Pkg","12W                    -                20","","CCT & Colors: 3000K","Premium LED Wall Light",""
"BALENO LED WAL LIGHT","BALENO LED WAL LIGHT","BALENO LED WAL LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/baleno.png/:/cr=t:22.73%25,l:15.18%25,w:70.42%25,h:58.86%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt   |   Size (mm)     |  Std.Pkg","6W                    -                20","","CCT & Colors: 3000K","Premium LED Wall Light",""
"AQUA LED SPIKELIGHT","FLUDEX LED SPIKELIGHT","AQUA LED SPIKELIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-af8b0b4.png/:/cr=t:23.3%25,l:0%25,w:100%25,h:47.93%25/rs=w:388,h:194,cg:true","Watt   |   Size (mm)     |  Std.Pkg","5W          72x74x260             50","12W       82x135x260            20","","Premium LED Spike Light","9W         82x135x260            20"
"AQUA LED SPIKELIGHT","FLUDEX LED SPIKELIGHT","AQUA LED SPIKELIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-e2590e9.png/:/cr=t:16.43%25,l:8.34%25,w:66.64%25,h:73.53%25/rs=w:388,h:194,cg:true,m","Watt   |   Size (mm)     |  Std.Pkg","5W          72x74x260             50","12W       82x135x260            20","","Premium LED Spike Light","9W         82x135x260            20"
"FLUDEX LED SPIKELIGHT","FLUDEX LED SPIKELIGHT","SOLAR SMART SPIKE LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-cfff4f1.png/:/cr=t:15.94%25,l:0%25,w:100%25,h:74.94%25/rs=w:388,h:194,cg:true","Watt   |   Size (mm)     |  Std.Pkg","12W        82x135x260          20","CCT & Colors: 3000K/4000K/6500K","Blue, Green, Pink,","Premium LED Spike Light",""
"SOLAR SMART SPIKE LIGHT","SOLAR SMART SPIKE LIGHT","","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-2d19bc4.png/:/cr=t:17.16%25,l:0%25,w:100%25,h:73.1%25/rs=w:388,h:194,cg:true","Watt   |   Size (mm)     |  Std.Pkg","10W         82x135x260          20","CCT & Colors: 3000K/4000K/6500K","Blue, Green, Pink, RGB","Premium LED Solar Spike Light",""
"VICTOR SWIMMING POOL LIGHT","","","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/VICTOR.png/:/cr=t:24.14%25,l:0%25,w:100%25,h:55.58%25/rs=w:388,h:194,cg:true","Watt   |   Size (mm)     |  Std.Pkg","3W         65X100                50","9W        105x100               50","","Premium LED Pool Light","6W         85X85                  50"
"POLO BOLLARD LIGHT","","","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/polo.png/:/cr=t:38.94%25,l:36.48%25,w:42.02%25,h:35.12%25/rs=w:388,h:291.72932330827064,cg:true,m","Watt   |   Size (mm)     |  Std.Pkg","12W         160X85X40           50","","CCT & Colors: 3000K","Premium LED Bollard Light",""
"MULTISTAR FLOOD LIGHT","MULTISTAR FLOOD LIGHT","MULTISTAR FLOOD LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-0a05719.png/:/cr=t:17.28%25,l:0%25,w:100%25,h:53.62%25/rs=w:388,h:194,cg:true","Watt |    Size (mm)     |  Std.Pkg","30W         185x235x65        10","","CCT & Colors: RGB","Premium LED Flood Light","50W         235x 285x70       10"
"NETVUE FLOOD LIGHT","MULTISTAR FLOOD LIGHT","MULTISTAR FLOOD LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-4d9493a.png/:/cr=t:26.49%25,l:0%25,w:89.29%25,h:47.94%25/rs=w:388,h:194,cg:true,m","Watt |       Size (mm)    |  Std.Pkg","30W         152x178x55        20","100W       282x247x65        20","150W       277x298x70         5","Premium LED Flood Light","50W         226x216x55        10"
"XUV FLOOD LIGHT","MULTISTAR FLOOD LIGHT","XUV FLOOD LIGHT","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-c7eea27.png/:/cr=t:12.51%25,l:14.45%25,w:80.65%25,h:72.64%25/rs=w:388,h:194,cg:true,m","Watt |       Size (mm)    |  Std.Pkg","30W           200x135            20","100W         300x200            10","CCT & Colors: 3000K/4000K/6500K","Premium LED Flood Light","50W           240 x160           20"
"RADIAL LED GATE LIGHT (SOLAR BASED)","RADIAL PRO LED GATE LIGHT (SOLAR BASED)","RADIAL PRO LED GATE LIGHT (SOLAR BASED)","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-223b85c.png/:/cr=t:11.08%25,l:2.05%25,w:80.65%25,h:74.45%25/rs=w:600,h:300,cg:true,m","Watt |   Battery         |  Std.Pkg","10W     3.7V/1.8mAh        10","Model: Round & Hexagon","CCT & Colors: 3000K/4000K/6500K/ RGB","Premium LED Gate Light",""
"RADIAL PRO LED GATE LIGHT (SOLAR BASED)","RADIAL PRO LED GATE LIGHT (SOLAR BASED)","RADIAL PRO LED GATE LIGHT (SOLAR BASED)","https://img1.wsimg.com/isteam/ip/3378db11-ac04-4f3b-8060-639724154194/blob-1d1c29c.png/:/cr=t:24.85%25,l:0%25,w:73.53%25,h:62.2%25/rs=w:600,h:300,cg:true,m","Watt |   Battery       |  Std.Pkg","10W    3.7V/1.8mAh       10","Model: Round & Hexagon","CCT & Colors: 3000K/4000K/6500K/ RGB","Premium LED Gate Light",""
