category,sku,name,price_text,product_url,image_url
Exhaust Fan,,Freshner ES Metal Reversible 225mm Sweep Gold Black Exhaust Fan,Rs. 2199,https://polycab.com/freshner-es-metal-reversible-225mm-sweep-gold-black-exhaust-fan/c-4982/p-53808,https://cms.polycab.com/media/fsyfuqv4/fexdove038p_img_01.png?format=webp
Air Circulator,,Superb Air Circulator Pedestal Fan 750mm Sweep 3 Blades,Rs. 17999,https://polycab.com/superb-air-circulator-pedestal-fan-750mm-sweep-3-blades/c-4977/p-53761,https://cms.polycab.com/media/sw5nz2js/facpest006p_img_01.png?format=webp
Air Circulator,,Superb Air Circulator Wall Fan 750mm Sweep 3 Blades,Rs. 15999,https://polycab.com/superb-air-circulator-wall-fan-750mm-sweep-3-blades/c-4977/p-53760,https://cms.polycab.com/media/ebajrk2h/facwast003p_img_01.png?format=webp
Air Circulator,,Superb Air Circulator Pedestal Fan 600mm Sweep 3 Blades,Rs. 14999,https://polycab.com/superb-air-circulator-pedestal-fan-600mm-sweep-3-blades/c-4977/p-53757,https://cms.polycab.com/media/qf5ej5iq/facpest005p_img_01.png?format=webp
Air Circulator,,Superb Air Circulator Pedestal Fan 450mm Sweep 3 Blades,Rs. 12999,https://polycab.com/superb-air-circulator-pedestal-fan-450mm-sweep-3-blades/c-4977/p-53759,https://cms.polycab.com/media/e3kh1o3n/facpest004p_img_01.png?format=webp
Air Circulator,,Superb Air Circulator Wall Fan 600mm Sweep 3 Blades,Rs. 11999,https://polycab.com/superb-air-circulator-wall-fan-600mm-sweep-3-blades/c-4977/p-53755,https://cms.polycab.com/media/cvnbuiox/facwast002p_img_01.png?format=webp
Air Circulator,,Superb Air Circulator Wall Fan 450mm Sweep 3 Blades,Rs. 10999,https://polycab.com/superb-air-circulator-wall-fan-450mm-sweep-3-blades/c-4977/p-53758,https://cms.polycab.com/media/ovebne2r/facwast001p_img_01.png?format=webp
Farrata Fan,AEROBLISS,FARRATA Fan 450mm Sweep 3 Blades Black Chrome,Rs. 6899,https://polycab.com/aerobliss-farrata-fan-450mm-sweep-3-blades-black-chrome/c-4983/p-53787,https://cms.polycab.com/media/ftyk05ua/fpehsst027p_img_01.png?format=webp
Farrata Fan,MAARUT,Farrata Fan 450mm Sweep 3 Blades Silver,Rs. 6699,https://polycab.com/maarut-farrata-fan-450mm-sweep-3-blades-silver/c-4983/p-53785,https://cms.polycab.com/media/2tmfepdv/fpensst008p_img_01.png?format=webp
Farrata Fan,THUNDERSTORM,FARRATA Fan 500mm Sweep 3 Blades Black Chrome,Rs. 6299,https://polycab.com/thunderstorm-farrata-fan-500mm-sweep-3-blades-black-chrome/c-4983/p-53789,https://cms.polycab.com/media/jhjmwh04/fpensst050p_img_001.png?format=webp
Farrata Fan,THUNDERSTROM,NEO Fan 500mm Sweep 3 Blades Grey,Rs. 6199,https://polycab.com/thunderstrom-neo-fan-500mm-sweep-3-blades-grey/c-4983/p-60753,https://cms.polycab.com/media/i3ob42xw/fpensst052p_img_01.png?format=webp
Farrata Fan,SUNAMI,FARRATA BLACK CHROME II Fan 500mm Sweep 3 Blades Black Chrome,Rs. 6099,https://polycab.com/sunami-farrata-black-chrome-ii-fan-500mm-sweep-3-blades-black-chrome/c-4983/p-53783,https://cms.polycab.com/media/wmalliog/fpensst030p_img_01.png?format=webp
Farrata Fan,AFRESH,NEO Fan 400mm Sweep 3 Blades Black,Rs. 4999,https://polycab.com/afresh-neo-fan-400mm-sweep-3-blades-black/c-4983/p-53791,https://cms.polycab.com/media/0fwobdzw/fpehsst033p_img_01.png?format=webp
