category,name,price_text,product_url,image_url
Ceiling Fans,Neoma Underlight BLDC+ Ceiling Fan,,https://havells.com/fans/ceiling-fans/neoma-underlight-bldc-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcnme5mbn48_base_1_1.jpg
Ceiling Fans,Epic+ R&R BLDC Ceiling Fan,,https://havells.com/fans/ceiling-fans/epic-rr-bldc-ceiling-fan-fhcpue5sbw48.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcpue5sbw48_base_1.jpg
Ceiling Fans,Epic Voice BLDC Ceiling Fan,,https://havells.com/fans/ceiling-fans/epic-voice-bldc-ceiling-fans.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/h/a/havells_epic_odv_pro_voice-smoke_brown_1__2_1.jpg
Ceiling Fans,Epic Underlight BLDC Ceiling Fan,,https://havells.com/fans/ceiling-fans/epic-underlight-bldc-ceiling-fans.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/e/p/epic_ul_cocoa_brown_cf_1__2_1.jpg
Ceiling Fans,Enticer R&R BLDC Prime (Dual Control) Ceiling Fan,,https://havells.com/fans/ceiling-fans/enticer-rr-bldc-prime-dual-control-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcpee5bcc48_base_1.jpg
Ceiling Fans,Elio BLDC Ceiling Fan,,https://havells.com/fans/ceiling-fans/elio-bldc-ceiling-fans.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcpp5swht48_1_1_1__1_1_1.jpg
Ceiling Fans,Crista BLDC Ceiling Fan,,https://havells.com/fans/ceiling-fans/crista-bldc-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhccbe5gml48_1.jpg
Ceiling Fans,Xpress HS Regular Ceiling Fan,,https://havells.com/fans/ceiling-fans/xpress-hs-regular-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcxee1wht48_base_1_1.jpg
Ceiling Fans,Victoris Regular Ceiling Fan,,https://havells.com/fans/ceiling-fans/victoris-regular-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcvse1mist48_b_1.jpg
Ceiling Fans,SS 390 HS Metallic Regular Ceiling Fan,,https://havells.com/fans/ceiling-fans/ss-390-hs-metallic-regular-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcsse1piv48_base_1_1.jpg
Ceiling Fans,Quickair Neo Regular Ceiling Fan,,https://havells.com/fans/ceiling-fans/quickair-neo-regular-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcqae1deg48_base_1_1.jpg
